Orthogroup	C. briggsae (AF16)	C. nigoni (JU1421)	C. elegans (N2)
OG0003132	CBR03711	CNI04975	WBGene00007916
OG0003133	CBR03722	CNI04985	WBGene00011051
OG0003134	CBR03823	CNI05103	WBGene00006626
OG0003135	CBR03825	CNI05105	WBGene00004461
OG0003136	CBR03840	CNI05129	WBGene00016968
OG0003137	CBR03933	CNI05219	WBGene00015089
OG0003138	CBR04005	CNI05297	WBGene00017129
OG0003139	CBR04199	CNI05486	WBGene00009717
OG0003140	CBR04207	CNI05494	"WBGene00003870, WBGene00006597, WBGene00006598"
OG0003141	CBR04350	CNI05656	WBGene00007556
OG0003142	CBR04352	CNI05658	WBGene00000796
OG0003143	CBR04360	CNI05670	WBGene00007561
OG0003144	CBR04480	CNI05797	"WBGene00014154, WBGene00014157, WBGene00016125"
OG0003145	"CBR04501, CBR04506"	CNI05823	
OG0003146	CBR04523	CNI05842	WBGene00007142
OG0003147	CBR04551	CNI05868	"WBGene00007694, WBGene00010056"
OG0003148	CBR04554	CNI05871	"WBGene00016765, WBGene00022108"
OG0003149	CBR04595	CNI05913	"WBGene00009307, WBGene00012373"
OG0003150	CBR04624	CNI05944	WBGene00014174
OG0003151	CBR04904	CNI06245	WBGene00002068
OG0003152	CBR04921	CNI06261	"WBGene00003096, WBGene00003097, WBGene00003098"
OG0003153	CBR04951	CNI06299	WBGene00017397
OG0003154	CBR04985	CNI06333	WBGene00017136
OG0003155	"CBR05001, CBR05002"	CNI06347	WBGene00001538
OG0003156	CBR05060	"CNI06415, CNI06419"	WBGene00018016
OG0003157	CBR05061	"CNI06413, CNI06420"	WBGene00018015
OG0003158	CBR05062	"CNI06412, CNI06421"	WBGene00018014
OG0003159	CBR05088	CNI06450	WBGene00019895
OG0003160	CBR05101	CNI06460	"WBGene00001755, WBGene00001756"
OG0003161	CBR05126	CNI06491	"WBGene00012297, WBGene00018163"
OG0003162	CBR05132	CNI06497	"WBGene00016054, WBGene00017384"
OG0003163	CBR05153	CNI06522	WBGene00009701
OG0003164	CBR05167	CNI06535	WBGene00012982
OG0003165	CBR05177	CNI06545	WBGene00000804
OG0003166	CBR05259	CNI06646	"WBGene00000830, WBGene00013220"
OG0003167	CBR05282	CNI06670	"WBGene00015305, WBGene00021010, WBGene00022288, WBGene00050919"
OG0003168	CBR05283	CNI06671	WBGene00000901
OG0003169	CBR05288	CNI06675	WBGene00012730
OG0003170	CBR05356	CNI06755	"WBGene00011044, WBGene00013823"
OG0003171	CBR05358	CNI06757	WBGene00010987
OG0003172	"CBR05411, CBR05412"	CNI06813	WBGene00016832
OG0003173	CBR05464	"CNI06848, CNI06886"	WBGene00005271
OG0003174	CBR05552	"CNI07102, CNI07103"	
OG0003175	"CBR05589, CBR05601"	CNI07173	
OG0003176	CBR05622	CNI07228	
OG0003177	"CBR05626, CBR05627"	"CNI07221, CNI07222"	
OG0003178	CBR05669	CNI07297	WBGene00019919
OG0003179	"CBR05710, CBR17676"	CNI07358	
OG0003180	"CBR05740, CBR05741"	CNI07393	WBGene00017589
OG0003181	CBR05770	"CNI07429, CNI07430"	
OG0003182	"CBR05905, CBR13579"	CNI18665	
OG0003183	CBR06010	CNI07918	WBGene00006647
OG0003184	"CBR06029, CBR14825"	CNI19497	
OG0003185	"CBR06076, CBR06080"		
OG0003186	"CBR06159, CBR06161"	CNI08303	
OG0003187	CBR06170	"CNI08320, CNI23907"	
OG0003188	"CBR06176, CBR20847"	CNI08325	
OG0003189	CBR06190	CNI08342	
OG0003190	CBR06354	CNI08516	WBGene00001340
OG0003191	CBR09294	CNI12305	WBGene00016844
OG0003192	CBR09298	"CNI12309, CNI28538"	WBGene00000224
OG0003193	CBR09300	"CNI12312, CNI28534"	WBGene00004908
OG0003194	CBR09333	CNI12352	WBGene00007359
OG0003195	CBR09368	CNI12400	WBGene00012131
OG0003196	CBR09369	"CNI12401, CNI12404"	WBGene00012132
OG0003197	CBR09395	CNI12433	WBGene00001549
OG0003198	CBR09398	CNI12440	WBGene00013654
OG0003199	CBR09420	CNI12478	WBGene00012420
OG0003200	CBR09563	"CNI12708, CNI12721"	WBGene00044003
OG0003201	CBR09565	CNI12711	"WBGene00013303, WBGene00013526"
OG0003202	"CBR09600, CBR09602"	CNI12752	WBGene00013317
OG0003203	CBR09660	CNI12832	WBGene00013292
OG0003204	CBR09691	"CNI12873, CNI12878"	
OG0003205	CBR09706	CNI12903	WBGene00010084
OG0003206	CBR09708	CNI12904	WBGene00010083
OG0003207	CBR09714	CNI12913	WBGene00013455
OG0003208	CBR09743	CNI12946	WBGene00013415
OG0003209	CBR09945	CNI13286	WBGene00000301
OG0003210	CBR10026	CNI13379	WBGene00000906
OG0003211	CBR10029	CNI13384	WBGene00006438
OG0003212	CBR10067	CNI13430	WBGene00008277
OG0003213	CBR10128	CNI13470	WBGene00002012
OG0003214	CBR10210	CNI13559	
OG0003215	CBR10253	CNI13611	WBGene00002247
OG0003216	"CBR10340, CBR10341"	CNI13723	WBGene00043065
OG0003217	CBR10343	CNI13725	WBGene00001606
OG0003218	CBR10396	CNI13789	WBGene00004112
OG0003219	"CBR10429, CBR10432"	CNI13828	
OG0003220	CBR10470	CNI13873	WBGene00022252
OG0003221	"CBR10480, CBR10481"	CNI13883	WBGene00004169
OG0003222	"CBR10492, CBR10493"	CNI13894	WBGene00013452
OG0003223	CBR10529	CNI13938	WBGene00015938
OG0003224	CBR10573	CNI13986	"WBGene00021895, WBGene00044469"
OG0003225	CBR10607	CNI14023	"WBGene00012087, WBGene00013138, WBGene00305049"
OG0003226	CBR10725	CNI14137	
OG0003227	CBR10953	CNI14365	WBGene00003218
OG0003228	CBR10957	CNI14369	WBGene00006678
OG0003229	CBR10973	CNI14390	WBGene00194933
OG0003230	CBR11008	"CNI14426, CNI14430"	
OG0003231	CBR11010	CNI14432	WBGene00006759
OG0003232	CBR11210	CNI14650	WBGene00008150
OG0003233	CBR11211	CNI14651	WBGene00008151
OG0003234	CBR11212	CNI14652	WBGene00000964
OG0003235	CBR11226	CNI14668	WBGene00009323
OG0003236	CBR11370	CNI14823	"WBGene00010354, WBGene00013381, WBGene00021200"
OG0003237	CBR11372	CNI14825	WBGene00013382
OG0003238	CBR11414	CNI14870	"WBGene00005013, WBGene00017920"
OG0003239	CBR11432	CNI14889	WBGene00022681
OG0003240	CBR11478	CNI14940	WBGene00021396
OG0003241	CBR11479	CNI14941	"WBGene00017542, WBGene00021398"
OG0003242	CBR11484	CNI14946	WBGene00000674
OG0003243	CBR11510	CNI14973	WBGene00021082
OG0003244	CBR11565	CNI15037	"WBGene00015050, WBGene00015052, WBGene00018246, WBGene00020191"
OG0003245	CBR11740	"CNI15244, CNI15245"	"WBGene00008077, WBGene00016773"
OG0003246	CBR11801	CNI15332	"WBGene00009652, WBGene00021381"
OG0003247	CBR11839	CNI15374	WBGene00021376
OG0003248	CBR11844	CNI15379	WBGene00003129
OG0003249	"CBR11846, CBR11847"	CNI15386	
OG0003250	CBR11856	CNI15394	WBGene00006756
OG0003251	CBR11859	CNI15407	WBGene00021379
OG0003252	CBR11878	CNI15430	
OG0003253	CBR11943	CNI15531	WBGene00019665
OG0003254	CBR11970	CNI15566	WBGene00020824
OG0003255	CBR11983	CNI15801	WBGene00016179
OG0003256	CBR12003		WBGene00001051
OG0003257	CBR12058	CNI15759	WBGene00017237
OG0003258	CBR12087	CNI15816	WBGene00009014
OG0003259	CBR12154	CNI16018	WBGene00021853
OG0003260	CBR12267	CNI16179	WBGene00022307
OG0003261	CBR12285	CNI16205	"WBGene00043061, WBGene00235350"
OG0003262	CBR12418	CNI16410	"WBGene00004176, WBGene00004177, WBGene00020014, WBGene00022553"
OG0003263	CBR12419	CNI16411	"WBGene00007594, WBGene00044301, WBGene00045385"
OG0003264	CBR12428	CNI16425	"WBGene00021454, WBGene00021928"
OG0003265	"CBR12432, CBR12560, CBR12561, CBR21198"	CNI16430	
OG0003266	CBR12507	CNI16496	"WBGene00016424, WBGene00021519"
OG0003267	CBR12515	CNI16487	WBGene00001105
OG0003268	CBR12522	CNI16479	WBGene00021512
OG0003269	CBR17458	CNI23289	"WBGene00017730, WBGene00017938"
OG0003270	CBR17584	CNI23427	WBGene00012295
OG0003271	CBR17829	CNI23769	WBGene00001081
OG0003272	CBR17970	CNI24011	
OG0003273	CBR18046	"CNI24050, CNI24053"	
OG0003274	CBR18106	CNI24175	
OG0003275	"CBR18238, CBR18239"	CNI24320	
OG0003276	"CBR18313, CBR18315"		
OG0003277	"CBR18408, CBR18411"	"CNI24529, CNI24545, CNI24572"	
OG0003278	CBR18516		
OG0003279	CBR18517	"CNI24660, CNI24662"	
OG0003280	CBR18531	"CNI24830, CNI24850"	
OG0003281	CBR18615		
OG0003282	CBR18748	CNI25436	WBGene00017380
OG0003283	"CBR18883, CBR18884"	CNI25578	WBGene00019826
OG0003284	CBR19000	CNI25701	
OG0003285	CBR19041	CNI25751	WBGene00019960
OG0003286	CBR19193	CNI25902	WBGene00001182
OG0003287	"CBR19285, CBR19286"	CNI25997	WBGene00016423
OG0003288	CBR19384	CNI26097	"WBGene00016669, WBGene00016670, WBGene00017691, WBGene00020982"
OG0003289	CBR19544	CNI26265	"WBGene00015565, WBGene00016985"
OG0003290	CBR19658	CNI26415	
OG0003291	CBR19697	CNI26461	"WBGene00006979, WBGene00006980, WBGene00006981"
OG0003292	CBR19726	CNI26488	WBGene00001000
OG0003293	CBR19755	CNI26517	WBGene00004089
OG0003294	CBR19775	CNI26541	
OG0003295	CBR19833	CNI26618	WBGene00002991
OG0003296	CBR20028	CNI26868	
OG0003297	CBR20031	CNI26871	WBGene00013395
OG0003298	CBR20149	"CNI27042, CNI27044"	"WBGene00005193, WBGene00005194"
OG0003299	CBR20340	CNI27297	WBGene00006966
OG0003300	CBR20394	CNI27363	"WBGene00008519, WBGene00010606"
OG0003301	CBR20492	CNI27515	WBGene00007878
OG0003302	CBR20548	CNI27544	
OG0003303	CBR20588	CNI27626	WBGene00007751
OG0003304	CBR20593	CNI27631	WBGene00004313
OG0003305	CBR20639	CNI27734	WBGene00086562
OG0003306	CBR20872	"CNI09202, CNI28074"	
OG0003307	CBR20919	CNI28153	
OG0003308	CBR20927	CNI28158	
OG0003309	"CBR20972, CBR20973"	CNI28232	
OG0003310	"CBR21065, CBR21066"	CNI28401	
OG0003311	CBR06518	CNI08695	"WBGene00011782, WBGene00011785, WBGene00014217, WBGene00255598"
OG0003312	CBR06534	CNI08712	WBGene00021440
OG0003313	CBR06535	"CNI08713, CNI08715"	WBGene00000545
OG0003314	CBR06542	"CNI08721, CNI08723"	
OG0003315	CBR06545	CNI08728	WBGene00021439
OG0003316	CBR06556		
OG0003317	CBR06565	CNI08769	WBGene00000506
OG0003318	CBR06668	CNI08830	"WBGene00004901, WBGene00004906"
OG0003319	CBR06676		
OG0003320	CBR06721	CNI08958	
OG0003321	CBR06724	CNI08962	"WBGene00004085, WBGene00004086"
OG0003322	CBR06742	CNI09036	WBGene00004027
OG0003323	CBR06901	CNI09289	WBGene00003546
OG0003324	CBR06927	CNI09378	WBGene00305999
OG0003325	CBR06940		"WBGene00005161, WBGene00005165"
OG0003326	CBR06942	CNI09402	WBGene00018562
OG0003327	CBR06943	CNI09403	WBGene00001972
OG0003328	CBR06944	CNI09404	WBGene00015978
OG0003329	CBR06951	CNI09428	WBGene00018564
OG0003330	CBR06965	CNI09485	WBGene00020435
OG0003331	CBR07014	"CNI09535, CNI09536"	WBGene00271577
OG0003332	CBR07051	CNI09579	"WBGene00017803, WBGene00022707"
OG0003333	CBR07059	CNI09589	WBGene00016194
OG0003334	CBR07088	CNI09627	WBGene00015084
OG0003335	CBR07154	CNI09701	WBGene00019832
OG0003336	CBR07187	CNI09723	WBGene00021316
OG0003337	CBR07195	CNI09731	WBGene00022197
OG0003338	CBR07208	CNI09747	"WBGene00010980, WBGene00016083"
OG0003339	CBR07232	CNI09776	WBGene00006545
OG0003340	CBR07290	"CNI03887, CNI03888"	
OG0003341	CBR07303	CNI09852	"WBGene00001478, WBGene00001480"
OG0003342	CBR07418	CNI09968	"WBGene00006273, WBGene00006274, WBGene00006275, WBGene00006289"
OG0003343	CBR07425	CNI09987	WBGene00000519
OG0003344	CBR07577	CNI10144	WBGene00009550
OG0003345	CBR07584	CNI10152	"WBGene00010712, WBGene00013475, WBGene00021793"
OG0003346	CBR07628	CNI10196	"WBGene00001792, WBGene00015337, WBGene00043097"
OG0003347	CBR07632	CNI10200	"WBGene00017114, WBGene00020370, WBGene00044393"
OG0003348	CBR07765	CNI10340	WBGene00000418
OG0003349	CBR07792	CNI10367	"WBGene00005012, WBGene00009501"
OG0003350	CBR07816	CNI10390	WBGene00000265
OG0003351	CBR07927	CNI10503	"WBGene00012169, WBGene00016673"
OG0003352	CBR07928	CNI10507	"WBGene00007840, WBGene00015100, WBGene00015107"
OG0003353	CBR07945	CNI10527	"WBGene00015530, WBGene00016605, WBGene00016839"
OG0003354	CBR07998	CNI10582	"WBGene00010634, WBGene00010869"
OG0003355	CBR08088	CNI10667	WBGene00006822
OG0003356	CBR08446	CNI11036	
OG0003357	CBR08544	CNI11203	WBGene00044665
OG0003358	CBR08584	CNI11223	"WBGene00001749, WBGene00001771, WBGene00001773"
OG0003359	CBR08680	CNI11435	"WBGene00007301, WBGene00018314"
OG0003360	"CBR08685, CBR08686"	CNI11436	WBGene00006629
OG0003361	CBR08709	CNI11474	WBGene00010138
OG0003362	CBR08723	"CNI11506, CNI11533"	WBGene00006571
OG0003363	CBR08744	CNI11556	
OG0003364	"CBR08749, CBR08752"	CNI11566	
OG0003365	CBR08806	CNI11651	WBGene00007629
OG0003366	CBR08808	CNI11652	
OG0003367	"CBR08866, CBR08868"	CNI11737	WBGene00000437
OG0003368	CBR08897	CNI11760	
OG0003369	CBR08949	CNI11818	WBGene00022803
OG0003370	CBR08974	CNI11867	WBGene00003157
OG0003371	CBR08988	"CNI11887, CNI11888, CNI11889"	WBGene00003401
OG0003372	CBR08992	CNI11896	WBGene00011604
OG0003373	CBR09002	CNI11940	WBGene00003249
OG0003374	CBR09003	CNI11941	WBGene00006612
OG0003375	CBR09044	CNI12001	WBGene00016412
OG0003376	CBR09045	CNI12002	WBGene00006946
OG0003377	CBR09074	CNI12084	"WBGene00012409, WBGene00013554"
OG0003378	CBR09136	"CNI12115, CNI12116"	WBGene00019680
OG0003379	CBR09166	CNI12139	
OG0003380	CBR09237	CNI12226	WBGene00015523
OG0003381	CBR12661	CNI16677	"WBGene00008629, WBGene00021703"
OG0003382	CBR12680	CNI16697	"WBGene00007365, WBGene00008726"
OG0003383	CBR12700	CNI16724	WBGene00011195
OG0003384	CBR12715	"CNI16742, CNI16765"	WBGene00022396
OG0003385	CBR12717	"CNI16740, CNI16767"	WBGene00044552
OG0003386	CBR12731	CNI16782	WBGene00018399
OG0003387	CBR12785	CNI16862	"WBGene00005647, WBGene00005648, WBGene00005649"
OG0003388	CBR12866	CNI16979	WBGene00018700
OG0003389	CBR12945	CNI17073	WBGene00022549
OG0003390	CBR12987	"CNI17122, CNI17123"	
OG0003391	CBR13023	CNI17176	
OG0003392	CBR13213	CNI17386	
OG0003393	CBR13219	CNI17392	WBGene00044531
OG0003394	CBR13236	CNI17412	WBGene00003159
OG0003395	CBR13282	CNI17472	WBGene00020389
OG0003396	CBR13343	CNI17563	
OG0003397	CBR13425	CNI17675	WBGene00021610
OG0003398	CBR13469	CNI17723	WBGene00005855
OG0003399	CBR13484	CNI17745	WBGene00019965
OG0003400	CBR13485	CNI17746	WBGene00019970
OG0003401	CBR13516	"CNI02164, CNI17789"	WBGene00195179
OG0003402	CBR13532	CNI17823	WBGene00018189
OG0003403	CBR13533	"CNI17824, CNI18423, CNI18424, CNI18425"	
OG0003404	CBR13633	"CNI17977, CNI17986"	WBGene00022643
OG0003405	CBR13639	CNI17983	WBGene00022641
OG0003406	CBR13640	CNI17984	"WBGene00015258, WBGene00021448"
OG0003407	CBR13687	CNI18053	WBGene00044705
OG0003408	CBR13692	CNI18060	WBGene00020696
OG0003409	CBR13831	"CNI18228, CNI18235"	
OG0003410	"CBR13854, CBR13855"	CNI18265	WBGene00019549
OG0003411	CBR13872	CNI18309	"WBGene00015731, WBGene00044131"
OG0003412	CBR13885	CNI18313	WBGene00021740
OG0003413	CBR13890	CNI18318	WBGene00000552
OG0003414	CBR13892	CNI18316	WBGene00004230
OG0003415	CBR13909	CNI18334	"WBGene00010994, WBGene00021981"
OG0003416	CBR13929	CNI18360	WBGene00020343
OG0003417	CBR13944	CNI18377	WBGene00003676
OG0003418	CBR13946	CNI18379	WBGene00021493
OG0003419	CBR13948	"CNI18382, CNI18384"	WBGene00018094
OG0003420	CBR13953	CNI18394	"WBGene00020697, WBGene00020698"
OG0003421	CBR13990	"CNI18410, CNI18446"	
OG0003422	CBR13996	CNI18453	WBGene00021750
OG0003423	CBR13999	CNI18455	WBGene00006770
OG0003424	CBR14002	CNI18458	WBGene00019972
OG0003425	CBR14006	CNI18463	WBGene00019240
OG0003426	CBR14007	CNI18464	WBGene00019241
OG0003427	CBR14022	CNI18492	WBGene00018615
OG0003428	CBR14144	CNI18652	
OG0003429	CBR14184	CNI18754	"WBGene00021004, WBGene00021739"
OG0003430	CBR14197	CNI18777	WBGene00002055
OG0003431	CBR14207	CNI18796	WBGene00015899
OG0003432	CBR14233		
OG0003433	CBR14242	CNI18849	"WBGene00019675, WBGene00019968"
OG0003434	CBR14409	CNI19023	"WBGene00003719, WBGene00015397"
OG0003435	CBR14473	CNI19092	
OG0003436	CBR14595	CNI19226	"WBGene00006222, WBGene00006224, WBGene00006225"
OG0003437	CBR14637	CNI19263	WBGene00007589
OG0003438	CBR14729	CNI19359	WBGene00010093
OG0003439	CBR14841	CNI19516	WBGene00000249
OG0003440	CBR14875	CNI19552	WBGene00008408
OG0003441	CBR14891	CNI19569	"WBGene00010790, WBGene00010791, WBGene00017060"
OG0003442	CBR14996	CNI19687	WBGene00001663
OG0003443	CBR14999	CNI19690	WBGene00005198
OG0003444	CBR15095	"CNI19786, CNI19792"	WBGene00008380
OG0003445	CBR15207	CNI19907	WBGene00010628
OG0003446	CBR15253	CNI19956	"WBGene00014109, WBGene00019108"
OG0003447	CBR15301	CNI20003	WBGene00001233
OG0003448	CBR15432	CNI20142	"WBGene00013492, WBGene00015360, WBGene00018426"
OG0003449	CBR15442	CNI20152	"WBGene00011795, WBGene00012547, WBGene00013473, WBGene00020990"
OG0003450	CBR15609	CNI20323	WBGene00020949
OG0003451	CBR15623	CNI20339	"WBGene00005251, WBGene00005253"
OG0003452	CBR15713	CNI20434	WBGene00017618
OG0003453	"CBR15766, CBR15767"	CNI20499	WBGene00016100
OG0003454	CBR15797	CNI20539	"WBGene00015054, WBGene00015055"
OG0003455	CBR15829	CNI20573	WBGene00001954
OG0003456	CBR15872	CNI20619	WBGene00008669
OG0003457	CBR15876	CNI20624	WBGene00008670
OG0003458	CBR15924	CNI20672	WBGene00001842
OG0003459	CBR16026	CNI20795	
OG0003460	CBR16104		WBGene00005242
OG0003461	CBR16130	CNI20910	WBGene00001834
OG0003462	CBR16155	CNI20932	WBGene00009084
OG0003463	CBR16159	CNI20936	WBGene00001170
OG0003464	CBR16192	CNI20976	"WBGene00009804, WBGene00009805"
OG0003465	CBR16209	CNI21010	WBGene00008798
OG0003466	CBR16219	CNI21026	"WBGene00008322, WBGene00008324, WBGene00008792"
OG0003467	CBR16243	CNI21055	
OG0003468	CBR16300	CNI21116	WBGene00010250
OG0003469	CBR16374	CNI21215	
OG0003470	CBR16383	CNI21233	WBGene00007949
OG0003471	CBR16458	CNI24882	
OG0003472	CBR16479	CNI21386	"WBGene00011397, WBGene00045356"
OG0003473	CBR16486	CNI21396	WBGene00010685
OG0003474	CBR16497	"CNI21421, CNI21422, CNI21424"	
OG0003475	CBR16599	CNI21640	WBGene00010185
OG0003476	CBR16821	CNI22219	
OG0003477	CBR16822	CNI22222	
OG0003478	CBR16842	CNI22247	WBGene00020757
OG0003479	CBR16843	CNI22251	WBGene00004452
OG0003480	CBR16889	CNI22479	"WBGene00007565, WBGene00012251, WBGene00012253"
OG0003481	"CBR16930, CBR16931"	CNI22657	WBGene00012664
OG0003482	CBR16936	CNI22649	"WBGene00013949, WBGene00013950"
OG0003483	CBR16975	CNI22726	WBGene00003413
OG0003484	CBR17114	CNI22896	WBGene00013347
OG0003485		"CNI07038, CNI07039"	
OG0003486			
OG0003487			
OG0003488			
OG0003489		CNI14086	
OG0003490		"CNI06948, CNI06950"	
OG0003491			
OG0003492		CNI21383	
OG0003493		CNI21427	
OG0003494		CNI18170	
OG0003495		CNI13063	WBGene00012893
OG0003496		CNI13290	WBGene00011745
OG0003497		"CNI17545, CNI17552"	
OG0003498		CNI12295	WBGene00018844
OG0003499			
OG0003500			
OG0003501			
OG0003502		"CNI11546, CNI11547"	
OG0003503		CNI18391	
OG0003504		CNI18507	
OG0003505		"CNI11906, CNI11907, CNI11908, CNI11925, CNI11929"	
OG0003506		"CNI04162, CNI05197, CNI19776"	
OG0003507		"CNI01064, CNI14458, CNI14496"	
OG0003508		"CNI03461, CNI03462"	
OG0003509		"CNI03513, CNI05820"	
OG0003510		"CNI08787, CNI08788"	
OG0003511		"CNI07232, CNI18572, CNI23567"	
OG0003512		"CNI14603, CNI26809"	
OG0003513		"CNI15554, CNI19452"	
OG0003514		"CNI21300, CNI21301, CNI21302"	
OG0003515		"CNI22345, CNI22346, CNI22347"	
OG0003516		"CNI23507, CNI23515"	
OG0003517		CNI23539	
OG0003518		"CNI24842, CNI24843, CNI24867"	
OG0003519		"CNI22470, CNI26481"	
OG0003520		CNI27806	
OG0003521			
OG0003522	CBR00010	CNI00036	WBGene00012031
OG0003523	CBR00014	CNI00511	WBGene00012030
OG0003524	CBR00016	CNI00509	WBGene00012029
OG0003525	CBR00017	CNI00508	WBGene00000938
OG0003526	CBR00018	CNI00506	WBGene00003552
OG0003527	CBR00019	CNI00505	WBGene00007739
OG0003528	CBR00020	CNI00504	WBGene00008411
OG0003529	CBR00023	CNI00499	WBGene00007743
OG0003530	CBR00029	CNI00493	WBGene00013994
OG0003531	CBR00032	CNI00491	WBGene00012136
OG0003532	CBR00033	CNI00490	WBGene00012137
OG0003533	CBR00034	CNI00489	WBGene00012139
OG0003534	CBR00037	CNI00486	WBGene00007042
OG0003535	CBR00038	CNI00485	WBGene00007742
OG0003536	CBR00047	CNI00458	WBGene00004378
OG0003537	CBR00048	CNI00455	WBGene00008934
OG0003538	CBR00049	CNI00454	"WBGene00005009, WBGene00016189"
OG0003539	CBR00054	CNI00434	WBGene00003136
OG0003540	CBR00056	CNI00432	WBGene00012116
OG0003541	CBR00068	CNI00393	WBGene00011971
OG0003542	CBR00074	CNI00388	WBGene00009187
OG0003543	CBR00079	CNI00383	WBGene00006518
OG0003544	CBR00080	CNI00380	WBGene00009189
OG0003545	CBR00086	CNI00364	WBGene00009142
OG0003546	CBR00089	CNI06478	WBGene00001214
OG0003547	CBR00092	CNI00359	WBGene00012113
OG0003548	CBR00096	CNI00355	WBGene00010291
OG0003549	"CBR00107, CBR20331"	CNI27286	
OG0003550	CBR00115	CNI00307	WBGene00008781
OG0003551	CBR00116	CNI00306	WBGene00009173
OG0003552	CBR00117	CNI00305	WBGene00009174
OG0003553	CBR00131	CNI00289	WBGene00000147
OG0003554	CBR00133	CNI00292	WBGene00009499
OG0003555	CBR00142	CNI00273	WBGene00009128
OG0003556	CBR00146	CNI00269	WBGene00009126
OG0003557	CBR00156	CNI00264	"WBGene00022032, WBGene00022705"
OG0003558	CBR00160	CNI00260	WBGene00022031
OG0003559	CBR00162	CNI00259	WBGene00022389
OG0003560	CBR00165	CNI00256	WBGene00001678
OG0003561	CBR00166	CNI00255	WBGene00022385
OG0003562	CBR00167	CNI00254	WBGene00022388
OG0003563	CBR00168	CNI00253	WBGene00022519
OG0003564	CBR00169	CNI00252	WBGene00022517
OG0003565	CBR00176	CNI00246	WBGene00044434
OG0003566	CBR00179	CNI00243	WBGene00021209
OG0003567	CBR00181	CNI00241	WBGene00021210
OG0003568	CBR00183	CNI00239	WBGene00018923
OG0003569	CBR00185	CNI00237	WBGene00022027
OG0003570	CBR00189	CNI00232	WBGene00003238
OG0003571	CBR00192	CNI00229	WBGene00000623
OG0003572	CBR00193	CNI00228	WBGene00022391
OG0003573	CBR00194	CNI00227	WBGene00003548
OG0003574	CBR00199	CNI00220	WBGene00007009
OG0003575	CBR00200	CNI00219	WBGene00022042
OG0003576	CBR00201	CNI00218	WBGene00022043
OG0003577	CBR00206	CNI00214	WBGene00004225
OG0003578	CBR00215	CNI00204	WBGene00021658
OG0003579	CBR00239	CNI00178	WBGene00009178
OG0003580	CBR00242	CNI00174	WBGene00005002
OG0003581	CBR00244	CNI00172	WBGene00021335
OG0003582	CBR00245	CNI00171	WBGene00021327
OG0003583	CBR00246	CNI00170	WBGene00004952
OG0003584	CBR00249	CNI00167	WBGene00021331
OG0003585	CBR00250	CNI00165	WBGene00021353
OG0003586	CBR00252	CNI00164	WBGene00021352
OG0003587	CBR00259	CNI00154	WBGene00021347
OG0003588	CBR00264	CNI00142	WBGene00021734
OG0003589	CBR00265	CNI00141	WBGene00015570
OG0003590	CBR00266	CNI00140	WBGene00006593
OG0003591	CBR00268	CNI00138	WBGene00021026
OG0003592	CBR00271	CNI00135	WBGene00002079
OG0003593	CBR00272	CNI00133	WBGene00021660
OG0003594	CBR00273	CNI00132	WBGene00000917
OG0003595	CBR00277	CNI00124	WBGene00016902
OG0003596	CBR00284	CNI00116	WBGene00021328
OG0003597	CBR00289	CNI00107	WBGene00003799
OG0003598	CBR00290	CNI00106	WBGene00021354
OG0003599	CBR00291	CNI00104	WBGene00021355
OG0003600	CBR00294	CNI00101	WBGene00000814
OG0003601	CBR00299	CNI00097	WBGene00015001
OG0003602	CBR00300	CNI00096	WBGene00006932
OG0003603	CBR00301	CNI00095	WBGene00006492
OG0003604	CBR00302	"CNI00093, CNI00094"	WBGene00016154
OG0003605	CBR00303	CNI00091	WBGene00016930
OG0003606	CBR00304	CNI00090	WBGene00018786
OG0003607	CBR00308	CNI00085	WBGene00008754
OG0003608	CBR00309	CNI00084	WBGene00020088
OG0003609	CBR00311	CNI00082	WBGene00004143
OG0003610	CBR00312	CNI00081	WBGene00006385
OG0003611	CBR00316	CNI00071	WBGene00021733
OG0003612	CBR00320	CNI00049	WBGene00021765
OG0003613	CBR00323	CNI00052	"WBGene00015913, WBGene00021768"
OG0003614	CBR00327	CNI00059	WBGene00021764
OG0003615	CBR00328	CNI00060	WBGene00044438
OG0003616	CBR00329	CNI00061	WBGene00021771
OG0003617	CBR00330	CNI00062	WBGene00021763
OG0003618	"CBR00334, CBR00372"	CNI00556	
OG0003619	CBR00374	CNI00558	"WBGene00010856, WBGene00010858"
OG0003620	CBR00432	CNI00629	WBGene00022358
OG0003621	CBR00434	CNI00632	WBGene00005077
OG0003622	CBR00467	CNI00695	"WBGene00009775, WBGene00010447, WBGene00021631"
OG0003623	CBR00489	"CNI00731, CNI00732"	WBGene00020131
OG0003624	CBR00529	CNI00797	WBGene00006508
OG0003625	CBR00531	CNI00798	"WBGene00018347, WBGene00044616"
OG0003626	CBR00541	CNI00808	WBGene00020556
OG0003627	CBR00543	CNI00810	WBGene00018894
OG0003628	CBR00557	CNI00823	WBGene00021635
OG0003629	CBR00575	CNI00848	WBGene00021639
OG0003630	CBR00595	CNI00894	WBGene00021826
OG0003631	CBR00606	CNI00906	"WBGene00000800, WBGene00022544"
OG0003632	CBR00629	CNI00928	"WBGene00016707, WBGene00020984, WBGene00022133"
OG0003633	CBR00636	CNI00935	WBGene00044796
OG0003634	CBR00637	CNI00936	"WBGene00020913, WBGene00020986"
